Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
261338,MERCY HOSPITAL CARTHAGE,2023-07-01,2024-06-30,25
340020,CENTRAL CAROLINA HOSPITAL,2023-01-01,2023-12-31,127
360003,UNIVER.OF CINCINNATI MED CENTER LLC,2023-07-01,2024-06-30,570
380050,SKY LAKES MEDICAL CENTER,2022-10-01,2023-09-30,90
490107,RESTON HOSPITAL,2023-01-01,2023-12-31,201
31304,PAGE HOSPITAL,2023-01-01,2023-12-31,25
100180,ST. PETERSBURG GENERAL,2023-05-01,2024-04-30,162
231319,ASPIRUS KEWEENAW HOSPITAL,2023-07-01,2024-06-30,25
231333,ASPIRUS IRONWOOD HOSPITAL,2023-07-01,2024-06-30,25
260023,MERCY HOSPITAL JEFFERSON,2023-07-01,2024-06-30,136
260052,MERCY HOSPITAL - WASHINGTON,2023-07-01,2024-06-30,140
280134,KEARNEY REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,93
361312,MERCY HEALTH - URBANA HOSPITAL,2023-01-01,2023-12-31,25
362036,REGENCY HOSPITAL OF TOLEDO,2023-01-01,2023-12-31,73
450351,TEXAS HEALTH HARRIS METHODIST STEPHE,2022-10-01,2023-09-30,47
453310,DELL CHILDRENS MEDICAL CENTER,2023-07-01,2024-06-30,310
490032,VCU HEALTH SYSTEM MCV HOSPITAL,2023-07-01,2024-06-30,816
523300,CHILDRENS HOSPITAL OF WISCONSIN,2023-01-01,2023-12-31,298
222048,WHITTIER HOSPITAL-WESTBOROUGH,2022-10-01,2023-09-30,63
261316,MERCY HOSPITAL AURORA,2023-07-01,2024-06-30,25
320038,REHOBOTH MCKINLEY CHRISTIAN HOSPITAL,2023-01-01,2023-08-02,50
361323,AULTMAN ORRVILLE HOSPITAL,2023-01-01,2023-12-31,25
390329,EINSTEIN MEDICAL CENTER MONTGOMERY,2023-07-01,2024-06-30,175
450747,PALESTINE REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,148
100212,HCA FLORIDA OCALA HOSPITAL,2023-09-01,2024-08-31,509
231307,BARAGA COUNTY MEMORIAL HOSPITAL,2022-10-01,2023-09-30,24
393302,UPMC CHILDRENS HOSPITAL OF PGH,2023-07-01,2024-06-30,317
100238,HCA FLORIDA NORTHSIDE HOSPITAL,2022-10-01,2023-09-30,202
161340,DECATUR COUNTY HOSPITAL,2023-07-01,2024-06-30,11
171337,WAMEGO HOSPITAL ASSOCIATION,2022-10-01,2023-09-30,18
171339,GREENWOOD COUNTY HOSPITAL,2022-10-01,2023-09-30,25
192004,KPC PROMISE HOSPITAL OF BATON ROUGE,2023-09-01,2024-05-18,54
222047,WHITTIER HOSPITAL-BRADFORD,2022-10-01,2023-09-30,35
224043,DEVENS TREATMENT & RECOVERY CENTER,2023-01-01,2023-12-31,108
241327,SLEEPY EYE MUNICIPAL HOSPITAL,2023-01-01,2023-12-31,16
454000,BIG SPRING STATE HOSPITAL,2023-09-01,2024-08-31,144
454011,SAN ANTONIO STATE HOSPITAL,2023-09-01,2024-08-31,280
490126,LEWISGALEHOSPITAL - ALLEGHANY,2023-03-01,2024-02-29,95
161322,DALLAS COUNTY HOSPITAL,2023-07-01,2024-06-30,25
171341,HIAWATHA COMMUNITY HOSPITAL,2023-01-01,2023-12-31,25
194085,COMPASS BEHAVIORAL CENTER  LLC,2023-01-01,2023-12-31,24
260065,MERCY HOSPITAL SPRINGFIELD,2023-07-01,2024-06-30,611
323026,NEW MEXICO REHABILITATION CENTER,2023-07-01,2024-06-30,15
371323,WEATHERFORD REGIONAL HOSPITAL,2022-10-01,2023-09-30,25
454006,TERRELL STATE HOSPITAL,2023-09-01,2024-08-31,305
504016,WELLFOUND BEHAVIORAL HEALTH HOSPITAL,2023-01-01,2023-12-31,72
521309,MOUNDVIEW MEMORIAL HOSPITAL,2023-01-01,2023-09-30,25
50272,REDLANDS COMMUNITY HOSPITAL,2022-10-01,2023-09-30,196
100191,MEDICAL CENTER OF TRINITY,2023-07-01,2024-06-30,270
100360,HCA FLORIDA UNIVERSITY HOSPITAL,2022-11-01,2023-10-31,155
283300,BOYS TOWN NATIONAL RESEARCH HOSPITAL,2023-01-01,2023-12-31,52
344034,DOROTHEA DIX BEHAVIORAL HEALTH,2023-07-01,2024-06-30,37
390339,LANCASTER MEDICAL CENTER,2023-07-01,2024-06-30,100
451378,BIG BEND REGIONAL MED CTR,2022-10-01,2023-09-30,22
454084,AUSTIN STATE HOSPITAL,2023-09-01,2024-08-31,199
141342,UNION COUNTY HOSPITAL DISTRICT,2023-01-14,2023-09-30,25
154065,NEUROBEHAVIORAL HOSPITAL LLC,2023-01-01,2023-12-31,70
171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,2023-01-01,2023-12-31,25
194082,COMPASS SENIOR CARE HOSPITAL  LLC,2023-01-01,2023-12-31,36
450011,ST. JOSEPH REGIONAL HEALTH CENTER,2023-07-01,2024-06-30,284
450651,MEDICAL CITY PLANO,2023-04-01,2024-03-31,584
450661,ODESSA REGIONAL HOSPITAL,2022-10-01,2023-09-30,208
171301,GREAT PLAINS OF ELLINWOOD  INC.,2022-10-01,2023-09-30,23
191310,BAYOU BEND HEALTH SYSTEM,2022-10-01,2023-09-30,25
670322,LEGENT SURGICAL HOSPITAL PLANO,2023-09-01,2024-08-31,7
30085,NORTHWEST MEDICAL CENTER,2022-10-01,2023-09-30,252
31307,PARKER INDIAN HEALTH CENTER,2022-10-01,2023-09-30,20
134017,COTTONWOOD CREEK BEHAVIORAL HOSPITAL,2023-01-01,2023-12-31,92
141340,VALLEY WEST COMMUNITY HOSPITAL,2023-09-01,2024-08-31,19
154066,BRIGHTWELL BEHAVIORAL HEALTH,2023-01-01,2023-12-31,22
260077,MERCY HOSPITAL SOUTH,2023-07-01,2024-06-30,725
